Date,Time,Open,High,Low,Close,Volume
2022/8/2,12:54:00,14640,14643,14640,14640,55
2022/8/2,12:55:00,14641,14650,14641,14649,245
2022/8/2,12:56:00,14648,14651,14644,14646,164
2022/8/2,12:57:00,14644,14646,14641,14644,104
2022/8/2,12:58:00,14643,14649,14643,14649,94
2022/8/2,12:59:00,14649,14651,14644,14646,199
2022/8/2,13:00:00,14646,14648,14644,14648,67
2022/8/2,13:01:00,14647,14661,14646,14659,531
2022/8/2,13:02:00,14658,14658,14643,14648,494
2022/8/2,13:03:00,14647,14653,14646,14646,130
2022/8/2,13:04:00,14646,14649,14646,14647,131
2022/8/2,13:05:00,14647,14650,14645,14647,131
2022/8/2,13:06:00,14647,14651,14646,14650,80
2022/8/2,13:07:00,14650,14660,14650,14655,302
2022/8/2,13:08:00,14656,14658,14650,14657,137
2022/8/2,13:09:00,14655,14656,14648,14648,157
2022/8/2,13:10:00,14649,14652,14647,14649,159
2022/8/2,13:11:00,14647,14651,14644,14644,226
2022/8/2,13:12:00,14646,14649,14644,14645,125
2022/8/2,13:13:00,14645,14653,14645,14650,117
2022/8/2,13:14:00,14649,14654,14649,14651,140
2022/8/2,13:15:00,14651,14659,14650,14658,255
2022/8/2,13:16:00,14658,14672,14653,14654,831
2022/8/2,13:17:00,14655,14657,14651,14656,288
2022/8/2,13:18:00,14657,14670,14656,14668,320
2022/8/2,13:19:00,14668,14674,14664,14673,351
2022/8/2,13:20:00,14673,14676,14668,14670,452
2022/8/2,13:21:00,14670,14674,14665,14667,368
2022/8/2,13:22:00,14665,14667,14660,14664,382
2022/8/2,13:23:00,14663,14666,14660,14663,260
2022/8/2,13:24:00,14664,14670,14664,14668,120
2022/8/2,13:25:00,14668,14672,14664,14665,268
2022/8/2,13:26:00,14665,14682,14662,14676,756
2022/8/2,13:27:00,14676,14677,14659,14662,559
2022/8/2,13:28:00,14661,14663,14647,14647,591
2022/8/2,13:29:00,14647,14652,14645,14645,386
2022/8/2,13:30:00,14646,14652,14643,14651,469
2022/8/2,13:31:00,14651,14654,14646,14646,556
2022/8/2,13:32:00,14646,14651,14645,14645,329
2022/8/2,13:33:00,14645,14650,14645,14648,255
2022/8/2,13:34:00,14648,14652,14648,14650,402
2022/8/2,13:35:00,14649,14653,14649,14651,281
2022/8/2,13:36:00,14650,14656,14649,14653,373
2022/8/2,13:37:00,14654,14655,14651,14653,161
2022/8/2,13:38:00,14652,14656,14652,14654,187
2022/8/2,13:39:00,14653,14661,14653,14659,410
2022/8/2,13:40:00,14660,14665,14660,14661,515
2022/8/2,13:41:00,14662,14669,14659,14669,370
2022/8/2,13:42:00,14667,14672,14666,14671,378
2022/8/2,13:43:00,14670,14673,14663,14664,546
2022/8/2,13:44:00,14665,14665,14648,14649,768
2022/8/2,13:45:00,14650,14654,14638,14643,1501
